GeographyCode,MedianAge
E02000098,34
E02000099,31
E02000100,34
E02000101,32
E02000102,31
E02000103,33
E02000104,35
E02000105,32
E02000106,31
E02000107,32
E02000108,33
E02000109,31
E02000110,32
E02000111,32
E02000112,32
E02000113,29
E02000114,31
E02000115,32
E02000116,31
E02000117,32
E02000118,33
E02000119,30
E02000120,32
E02000121,32
E02000122,35
E02000123,32
E02000124,33
E02000125,34
E02000126,32
E02000127,36
E02000128,39.5
E02000130,37
E02000131,34
E02000132,36
E02000133,44
E02000134,36
E02000135,33
E02000136,43
E02000137,42
E02000138,43
E02000139,37
E02000140,34
E02000141,36
E02000142,40
E02000144,37
E02000145,34
E02000146,38
E02000147,45
E02000148,43
E02000149,39
E02000150,42
E02000151,44
E02000152,38
E02000153,42
E02000154,42
E02000155,46
E02000156,45
E02000157,45
E02000158,42
E02000159,45
E02000160,43
E02000161,42
E02000162,44
E02000163,44
E02000165,39
E02000166,40
E02000167,39
E02000168,35
E02000169,36
E02000170,33
E02000171,35
E02000172,31
E02000173,35
E02000174,32
E02000175,32
E02000176,35
E02000177,32
E02000178,32
E02000179,34
E02000180,30
E02000181,33
E02000182,34
E02000183,37
E02000184,30
E02000185,33.5
E02000186,32
E02000187,29
E02000188,26
E02000189,27
E02000190,28
E02000191,26
E02000192,33
E02000193,33
E02000194,35
E02000195,38
E02000196,35
E02000197,33
E02000198,33
E02000199,34
E02000200,36
E02000201,32
E02000202,35
E02000203,34
E02000204,33
E02000206,32
E02000207,32
E02000208,30
E02000209,31
E02000210,34
E02000211,43
E02000212,31
E02000213,31
E02000214,41
E02000215,33
E02000216,37
E02000217,32
E02000218,34.5
E02000219,47
E02000220,32
E02000221,34
E02000222,35
E02000223,26
E02000224,34
E02000225,35
E02000226,45
E02000227,39
E02000228,46
E02000229,33
E02000230,39
E02000231,44
E02000232,43
E02000233,37
E02000234,39
E02000235,41
E02000236,41
E02000237,45
E02000238,33
E02000239,34
E02000240,33
E02000241,34
E02000242,33
E02000243,34
E02000244,34
E02000245,31
E02000246,32
E02000247,32
E02000248,33
E02000249,34
E02000250,39
E02000251,34
E02000252,30
E02000253,35
E02000254,33
E02000255,35
E02000256,35
E02000257,34
E02000258,33
E02000259,36
E02000260,33
E02000261,31
E02000262,33
E02000263,32
E02000264,35
E02000265,33
E02000266,32
E02000267,35
E02000268,35
E02000269,35
E02000270,32
E02000271,37
E02000272,38
E02000274,30
E02000275,34
E02000276,33
E02000277,35
E02000278,32
E02000279,30
E02000280,38
E02000281,34
E02000282,30
E02000283,31
E02000284,37
E02000285,41
E02000286,41
E02000287,42
E02000288,31
E02000289,43
E02000290,29
E02000291,35
E02000292,35
E02000293,43
E02000294,33
E02000295,37
E02000296,34
E02000297,41
E02000298,41
E02000299,32
E02000300,32
E02000301,31
E02000302,37
E02000303,31
E02000304,41
E02000305,36
E02000306,29
E02000307,34
E02000308,34
E02000309,30
E02000311,33
E02000312,34
E02000313,31
E02000314,29
E02000315,31
E02000316,30
E02000317,30
E02000318,31
E02000319,31
E02000320,33
E02000321,31
E02000323,30
E02000324,33
E02000326,33
E02000327,27
E02000328,37
E02000329,37
E02000331,33
E02000332,38
E02000333,37
E02000334,37
E02000335,41
E02000337,36
E02000339,42
E02000340,42
